,bus_ch7,bus_ch11,bus_total,establishment_count,pd,logit_pd,t3m_rate,hy_oas,unemp_rate,wti_price,usd_twex,gdp_qoq_pct
2019-03-31,3376,1647,5023,10106053,0.000497028859832815,-7.606365313059836,2.316666666666667,4.070615384615384,3.8333333333333335,59.96557377049181,115.69885409836066,0.1416442191157108
2019-06-30,3617,1504,5121,10189894,0.000502556748872952,-7.5952993082541616,2.3866666666666667,4.2403125,3.8666666666666667,54.82311475409836,114.55295593220339,0.6243180824466066
2019-09-30,3561,1391,4952,10275524,0.00048192189517537015,-7.6372464621918645,2.3000000000000003,4.0218461538461545,3.6333333333333333,59.880158730158726,115.4291453125,0.8351458407085399
2019-12-31,3620,1503,5123,10363818,0.000494315897866983,-7.611841337671155,1.9799999999999998,4.0823880597014925,3.6,56.336349206349205,116.4763265625,1.170001856591063
2020-03-31,3491,1865,5356,10355102,0.0005172329543446313,-7.566499829500651,1.5766666666666669,3.9610769230769227,3.6,56.84492063492063,116.41506229508197,0.6818778695641736
2020-06-30,2700,2047,4747,10383036,0.0004571880517413211,-7.689958467340208,1.11,5.1443076923076925,3.8333333333333335,45.33516129032258,117.75739516129032,-1.3924410858419556
2020-09-30,2902,2110,5012,10515058,0.00047664977216483256,-7.648251803611612,0.14333333333333334,7.148923076923077,13.0,27.96047619047619,121.84220625,-7.908965237823118
2020-12-31,2791,1755,4546,10697552,0.00042495703689965705,-7.763097436440896,0.11333333333333334,5.369848484848484,8.799999999999999,40.89171875,117.358425,7.830225060408158
2021-03-31,2386,1444,3830,10655451,0.0003594404403905569,-7.930602562935541,0.09333333333333334,4.548636363636363,6.766666666666667,42.52492063492064,113.92367,1.0847255116152033
2021-06-30,2346,1065,3411,10814259,0.0003154168954155805,-8.061299850003468,0.049999999999999996,3.615846153846154,6.233333333333333,58.09344262295082,112.37469166666666,1.3801861389137748
2021-09-30,1975,895,2870,10988319,0.00026118644717176484,-8.250014828130846,0.02666666666666667,3.2575,5.933333333333334,66.18666666666667,111.8373984375,1.5700448738243278
2021-12-31,1930,953,2883,11178274,0.00025791101560044064,-8.262637989027727,0.04666666666666667,3.2034328358208954,5.066666666666666,70.57546875,113.3141390625,0.8528493962201456
2022-03-31,1856,935,2791,11273186,0.0002475786348242635,-8.303534700667571,0.05333333333333334,3.2143939393939394,4.2,77.32730158730159,114.9794786885246,1.803158911042524
2022-06-30,1839,1173,3012,11444566,0.00026318167067235226,-8.242402784931677,0.3066666666666667,3.5590625,3.8333333333333335,95.18032258064517,115.49977258064516,-0.2574544675622348
2022-09-30,1975,1204,3179,11604587,0.0002739433984165055,-8.202315067110263,1.0766666666666667,4.3472307692307695,3.6333333333333333,108.83435483870967,118.96322063492063,0.07017944333989057
2022-12-31,2031,1147,3178,11754909,0.0002703551341826636,-8.215503759756317,2.6633333333333336,4.931492537313433,3.533333333333333,93.0640625,123.53624375,0.6732082005465267
2023-03-31,8162,4945,13107,11766298,0.0011139442499246578,-6.798733618533311,4.04,4.748923076923077,3.5666666666666664,82.78746031746032,124.82148032786885,0.8278279245403475
2023-06-30,2376,1802,4178,11785717,0.00035449688805526213,-7.944456430699158,4.626666666666667,4.42390625,3.533333333333333,75.93016129032259,120.34234354838709,0.6920437930648227
2023-09-30,2691,1725,4416,11903784,0.00037097447332713697,-7.8990062594707835,5.073333333333333,4.517076923076924,3.533333333333333,73.53887096774193,119.58965873015873,0.6069738859241891
2023-12-31,2824,2119,4943,12009425,0.00041159339435485045,-7.795062924711553,5.29,3.909242424242424,3.6666666666666665,82.25031746031746,120.20475555555555,1.071522787323076
2024-03-31,2918,2021,4939,11766298,0.0004197581941235893,-7.775411894441936,5.283333333333333,3.9779999999999998,3.8000000000000003,78.52672131147541,121.86107540983606,0.788672702737836
2024-06-30,3151,2462,5613,12045711,0.0004659749847891918,-7.670912522404508,5.233333333333333,3.365,3.8333333333333335,77.5039344262295,121.00471612903226,0.40480213931690656
2024-09-30,3167,1984,5151,12162989,0.0004234978753988843,-7.766538473076486,5.243333333333333,3.180151515151515,4.0,81.80571428571429,122.87737936507936,0.7389796233074009
2024-12-31,3311,1968,5279,12265395,0.0004303978795627862,-7.75036998526791,4.989999999999999,3.259850746268657,4.166666666666667,76.4275,122.934590625,0.7595104802784025
